country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1992,41.674,16317921,649.3413952
Afghanistan,Asia,1997,41.763,22227415,635.341351
Albania,Europe,1992,71.581,3326498,2497.437901
Albania,Europe,1997,72.95,3428038,3193.054604
Algeria,Africa,1992,67.744,26298373,5023.216647
Algeria,Africa,1997,69.152,29072015,4797.295051
Angola,Africa,1992,40.647,8735988,2627.845685
Angola,Africa,1997,40.963,9875024,2277.140884
Argentina,Americas,1992,71.868,33958947,9308.41871
Argentina,Americas,1997,73.275,36203463,10967.28195
Australia,Oceania,1992,77.56,17481977,23424.76683
Australia,Oceania,1997,78.83,18565243,26997.93657
Austria,Europe,1992,76.04,7914969,27042.01868
Austria,Europe,1997,77.51,8069876,29095.92066
Bahrain,Asia,1992,72.601,529491,19035.57917
Bahrain,Asia,1997,73.925,598561,20292.01679
Bangladesh,Asia,1992,56.018,113704579,837.8101643
Bangladesh,Asia,1997,59.412,123315288,972.7700352
Belgium,Europe,1992,76.46,10045622,25575.57069
Belgium,Europe,1997,77.53,10199787,27561.19663
Benin,Africa,1992,53.919,4981671,1191.207681
Benin,Africa,1997,54.777,6066080,1232.975292
Bolivia,Americas,1992,59.957,6893451,2961.699694
Bolivia,Americas,1997,62.05,7693188,3326.143191
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904
Botswana,Africa,1992,62.745,1342614,7954.111645
Botswana,Africa,1997,52.556,1536536,8647.142313
Brazil,Americas,1992,67.057,155975974,6950.283021
Brazil,Americas,1997,69.388,168546719,7957.980824
Bulgaria,Europe,1992,71.19,8658506,6302.623438
Bulgaria,Europe,1997,70.32,8066057,5970.38876
Burkina Faso,Africa,1992,50.26,8878303,931.7527731
Burkina Faso,Africa,1997,50.324,10352843,946.2949618
Burundi,Africa,1992,44.736,5809236,631.6998778
Burundi,Africa,1997,45.326,6121610,463.1151478
Cambodia,Asia,1992,55.803,10150094,682.3031755
Cambodia,Asia,1997,56.534,11782962,734.28517
Cameroon,Africa,1992,54.314,12467171,1793.163278
Cameroon,Africa,1997,52.199,14195809,1694.337469
Canada,Americas,1992,77.95,28523502,26342.88426
Canada,Americas,1997,78.61,30305843,28954.92589
